Name,Sub Category,Plan,AUM,Category PE Ratio,PE Ratio,Returns vs sub-category - 10Y,Returns vs sub-category - 1Y,Returns vs sub-category - 3Y,Returns vs sub-category - 5Y,% Away from ATH,3Y Avg Annual Rolling Return ,CAGR 5Y,Sharpe Ratio,Sortino Ratio,Average Maturity,Average YTM,Category YTM,% Debt Holding,% Equity Holding,% Largecap Holding,% Midcap Holding,% Other Holdings,% Smallcap Holding,% Concentration - Top 3 Holdings,% Concentration - Top 5 Holdings,% Concentration - Top 10 Holdings,% B Rated Bonds,% Poorly Rated Bonds,% Sovereign Debt Holding,% Corporate Debt Holding,% Cash Holding,% A Rated Bonds,SEBI Risk Category,Tracking Error,Category St Dev,Volatility,Maximum Drawdown,Alpha,Absolute Returns - 1Y,CAGR 3Y,CAGR 10Y,Absolute Returns - 3M,Absolute Returns - 6M,AMC,Benchmark,Expense Ratio,Minimum Lumpsum,NAV,Lock-in,Time since inception,Exit Load,Fund Manager,SIP Investment,Minimum SIP
360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund,Growth,862.1676956459149,28.88567500000001,29.3018,0.0,1.004603746618438,0.0,0.0,0.19,0.0,0.0,0.4222619092459087,0.0443,3.46,6.74,6.722500000000001,56.093780994390194,41.6497615188398,23.670478210982942,10.161230024904496,0,7.422274269515337,11.34366788432378,17.28269520564309,31.8941276028663,0.0,0.0,17.1471351509226,38.0190388314688,2.2564574867700227,38.94664584346761,High,0.0,6.859176417717729,6.670468205456047,6.134547641549956,0.0,7.009868182951454,0.0,0.0,3.080284167060487,6.268020158617334,360 ONE Asset Management Limited,NIFTY 50 Hybrid Composite Debt 50:50 Index,0.45,1000,13.3055,0,27,1.0,"Mayur Patel,Ashish Ongari,Milan Mody,Viral Mehta",Allowed,0
Aditya Birla SL Aggressive Hybrid Omni FOF,FoFs (Domestic) - Hybrid,Growth,39.1089,0.0,0.0,1.536016377643073,1.3608735337746565,1.5531706882879317,1.6998322818349445,0.67,14.662670326257418,14.353368029092328,0.6079936512826429,0.0629,0.0,0.0,6.807692307692308,0.0,0.0,0.0,0.0,0,0.0,45.115561930916,74.76917018888281,100.0971645840205,0.0,0.0,0.0,0.0,0.6696685409203529,0.0,Very High,2.4129251956909066,3.9047270488562447,7.800733165542839,17.302931184039316,0.8699999999999999,8.935936983971951,14.927040295651928,11.70263863086758,3.913078449246617,7.451286624556996,Aditya Birla Sun Life AMC Limited,CRISIL Hybrid 35+65 - Aggressive Index,0.62,100,46.509,0,155,1.0,Vinod Narayan Bhat,Allowed,0
Aditya Birla SL Arbitrage Fund,Arbitrage Fund,Growth,24255.8941,22.297705769230763,24.2769,2.1177898265928663,1.778524207542949,1.492091566946808,1.531249440872996,0.01,7.419027731034616,6.434553790780018,3.5860513270169463,0.4854,0.79,6.48,5.980710382513663,2.8429209707013023,79.18745613256942,56.6969596886556,17.85843342711493,0,4.632063016798873,20.18577249642588,27.482155357859963,38.235447688568144,0.0,0.0,0.0,1.924337227379303,1.5636867411949968,2.842920970701302,Low,0.0,0.8528701462815688,0.8064249996124873,0.5365827996996735,0.0,7.030972852581801,7.827981631412606,6.398785556032482,1.4401929962599973,3.3506374262810272,Aditya Birla Sun Life AMC Limited,Nifty 50 Arbitrage - TRI,0.31,1000,29.2658,0,155,0.25,"Lovelish Solanki,Mohit Sharma,Krina Mehta",Allowed,0
Aditya Birla SL Banking & Financial Services Fund,Sectoral Fund - Banks & Financial Services,Growth,3606.4719,19.503119117647056,19.8101,1.3579288028150325,1.1238716399273874,1.1438946148363556,1.1808901152124054,0.18,17.378628000656825,19.08428420069517,0.6762540351081093,0.0747,0.0,0.0,0.0,0.0,97.5944052135829,68.11200719462147,14.329397658692422,0,15.153000360269,41.76778696099092,55.01102337716818,71.75585369180338,0.0,0.0,0.0,0.0,2.2543943847170933,0.0,Very High,2.7843886797643758,14.052102690894005,14.064813969619363,47.44958481613286,-0.7000000000000001,14.94345718901455,16.741258243200363,15.97022198003206,6.671664167916046,7.153614457831325,Aditya Birla Sun Life AMC Limited,Nifty Financial Services - TRI,1.07,1000,71.15,0,144,1.0,Dhaval Gala,Allowed,0
Aditya Birla SL Banking & PSU Debt Fund,Banking & PSU Fund,Growth,9241.1721,0.0,0.0,3.1485714981154564,2.1358624445836334,2.2603530645799017,2.770427053853476,0.0,7.343073107740459,6.33880323893663,3.665423866348884,0.4501,5.14,6.85,6.673999999999998,0.0,0.0,0.0,0.0,0,0.0,8.50716003871414,13.41712054036956,24.76142934292936,0.0,0.0,13.50590473258256,75.2830368779736,2.725697533541227,83.47329663950319,Moderate,0.0,1.3022365436027488,1.1286775093001544,3.0363931302855187,0.0,8.290876895561588,7.924981152815813,7.836660674920393,1.800782767638987,3.496374472831941,Aditya Birla Sun Life AMC Limited,NIFTY Banking and PSU Debt Index,0.39,1000,390.4172,0,155,0.0,"Kaustubh Gupta,Harshil Suvarnkar",Allowed,1000
Aditya Birla SL Balanced Advantage Fund,Balanced Advantage Fund,Growth,8616.8675,25.40629327731092,26.8753,2.0063587482104657,2.2232999553733386,1.416253485166204,1.433581748876099,0.52,14.0510313696188,14.03630467551491,0.5984689465628104,0.0649,4.15,7.03,6.604867256637168,19.740210697216817,66.41756067387595,43.02766521592678,10.957649052860573,0,12.432246405088623,12.2196621916259,17.723795799343552,28.57124819431191,0.0,0.0,4.354859814195814,14.260514044111735,7.805606851909929,13.637635718548538,Very High,0.0,7.891351259607022,8.269031147601272,26.358515573227297,0.0,9.959132906894094,13.95964772107332,12.761429237151113,3.65128548697764,4.6238377007607765,Aditya Birla Sun Life AMC Limited,CRISIL Hybrid 50+50 - Moderate Index,0.67,100,123.77,0,155,0.25,"Mohit Sharma,Lovelish Solanki,Harish krishnan",Allowed,0
Aditya Birla SL Business Cycle Fund,Thematic Fund,Growth,1800.0891,33.92628225039608,30.2016,0.0,1.1150034963259876,0.8489483543774791,0.0,2.16,16.52531886674671,0.0,0.0666729330388276,0.0068,0.0,0.0,0.0,0.0,98.7648611393736,53.17508449998392,16.743598969628774,0,27.348090713954107,13.889329144874,20.87294456702172,34.22700576321473,0.0,0.0,0.0,0.0,0.8647405286771634,0.0,Very High,1.950977016779029,14.640615829672498,13.537780308455298,17.77777777777777,6.12,4.557124518613602,14.64764285903517,0.0,5.368693402328579,9.770889487870615,Aditya Birla Sun Life AMC Limited,BSE 500 - TRI,1.23,500,16.29,0,48,1.0,"Harish krishnan,Dhaval Gala",Allowed,10
Aditya Birla SL Consumption Fund,Sectoral Fund - Consumption,Growth,6525.8457,46.134108955223866,39.4754,1.4862246956898926,3.290614944929072,1.2850129161111008,1.215719243255513,5.44,17.8417864170568,19.93253104282529,0.1285835137177391,0.0134,0.0,0.0,0.0,0.0,99.46361588046744,64.80372038217207,20.724345351898208,0,13.384124298249954,14.65262502299127,22.36384626746538,36.62353371303279,0.0,0.0,0.0,0.0,0.5065626973068029,0.0,Very High,3.092354132372294,12.910879407504936,12.586897287258685,34.51622389961769,5.25,6.979298690325311,16.01366920154421,16.869592774130204,3.9704372818723,5.438041305796137,Aditya Birla Sun Life AMC Limited,Nifty India Consumption - TRI,0.77,1000,253.22,0,155,1.0,Chanchal Khandelwal,Allowed,100
Aditya Birla SL Corp Bond Fund,Corporate Bond Fund,Growth,27069.2827,0.0,0.0,3.017022474306652,1.9449243171587032,2.193561601580701,3.312969057103216,0.0,7.654700825770363,6.572003081027322,3.086004329225738,0.3675,7.23,7.01,6.823552123552138,0.0,0.0,0.0,0.0,0,0.0,20.34883884748139,26.68697126679907,37.56325237356751,0.0,0.0,28.637424111679795,64.81304502357003,2.754419149673533,68.34440807949072,Moderate,0.0,1.362241166159009,1.2778978832441974,2.377539131756236,0.0,8.194256419871197,8.116935490230581,7.859034780519281,1.9164757001408572,3.245876219944285,Aditya Birla Sun Life AMC Limited,NIFTY Corporate Bond Index,0.32,100,117.7226,0,155,0.0,Kaustubh Gupta,Allowed,0
Aditya Birla SL Digital India Fund,Sectoral Fund - Technology,Growth,4746.6382,34.74101470588235,32.2692,1.4043769827279926,2.0899898244216746,1.0919144329705093,1.1930159183733395,12.2,14.1381407679192,19.021185100460023,-0.5444956198170927,-0.0571,0.0,0.0,0.0,0.0,94.55305230552436,59.45081089180123,15.828168660505884,0,17.122992437047337,36.12841821396876,49.726440072891975,69.04640425301425,0.0,0.0,0.0,0.0,2.5380257547331038,0.0,Very High,4.265480263698333,17.67628785408705,17.70166372180875,34.50338422792382,5.56,-5.66844919786096,13.887495388210858,18.22974125627419,5.830379056449413,9.213710812179889,Aditya Birla Sun Life AMC Limited,BSE TECk Index - TRI,0.86,1000,194.04,0,155,1.0,Kunal Sangoi,Allowed,0
Aditya Birla SL Dividend Yield Fund,Dividend Yield Fund,Growth,1489.7517,21.043629999999997,17.7406,1.3212891299097314,-1.613580168511355,1.2028669939529233,1.213372462728456,8.65,23.56087346110463,22.501656475485056,-0.4317866139657412,-0.0432,0.0,0.0,0.0,0.0,97.30538317224271,66.23732666322847,8.674458971921293,0,18.084261961238237,15.20305028012386,23.79810675832757,38.6848023063172,0.0,0.0,0.0,0.0,2.694616827757268,0.0,Very High,2.603419290087557,13.138377690536997,13.934643005114989,42.0352191073778,3.67,-2.241365715186869,19.82835131504732,13.762308440937442,4.531944942138656,9.79233085370174,Aditya Birla Sun Life AMC Limited,NIFTY 500 - TRI,1.43,1000,495.91,0,155,1.0,Dhaval Gala,Allowed,0
Aditya Birla SL Dynamic Bond Fund,Dynamic Bond Fund,Growth,1917.6894,0.0,0.0,2.2708302580699886,2.512014561417994,2.140326664065391,2.75356945404515,0.01,8.586885000498954,7.484286544073559,1.8271558554212064,0.2051,13.35,7.61,6.820257352941166,0.0,0.0,0.0,0.0,0,0.0,28.484122611305,36.76642839033261,55.6016161949896,0.0,0.0,35.759982820992754,61.41993588742786,2.532782420343979,61.41993588742786,Moderately High,0.0,2.483823549205934,2.085910333643324,7.46952494986945,0.0,8.004881778739552,8.31960159645082,6.9171201393044335,1.7965009485380463,2.3711034261384523,Aditya Birla Sun Life AMC Limited,NIFTY Composite Debt Index,0.64,1000,50.7084,0,155,0.5,"Mohit Sharma,Bhupesh Bameta",Allowed,0
