Name,Sub Category,Plan,AMC,Sharpe Ratio,Sortino Ratio,Alpha,Volatility,Maximum Drawdown,Expense Ratio,3Y Avg Annual Rolling Return,Absolute Returns - 3M,Absolute Returns - 6M,Absolute Returns - 1Y,CAGR 3Y,CAGR 5Y,% Largecap Holding,% Concentration - Top 3 Holdings,AUM,PE Ratio,Category PE Ratio,% Equity Holding,Returns vs sub-category - 1Y,Returns vs sub-category - 3Y,Returns vs sub-category - 5Y,Returns vs sub-category - 10Y,% Away from ATH,SEBI Risk Category
ABC Large Cap Fund - Growth,Large Cap,Growth,ABC Asset Management,1.25,1.45,2.5,12.5,-15.2,0.85,14.5,5.2,8.5,15.3,14.2,13.8,85.5,22.5,5000,18.5,19.2,92.5,2.1,1.8,1.5,1.2,-3.5,Moderately High
XYZ Mid Cap Fund - Growth,Mid Cap,Growth,XYZ Mutual Fund,0.95,1.15,1.8,18.5,-22.5,1.15,16.8,4.8,10.2,18.5,16.5,15.2,35.2,28.5,2500,22.5,21.8,95.5,3.2,2.5,2.8,2.1,-5.2,High
DEF Flexi Cap Fund - Growth,Flexi Cap,Growth,DEF Asset Management,1.15,1.35,3.2,14.2,-18.5,0.95,15.8,5.8,9.5,17.2,15.5,14.5,65.5,25.5,4500,20.2,19.8,94.2,2.8,2.2,1.9,1.5,-4.2,High
GHI Small Cap Fund - Growth,Small Cap,Growth,GHI Investments,0.85,1.05,2.2,22.5,-28.5,1.25,19.5,6.5,12.5,22.5,19.2,18.5,15.5,32.5,1800,25.5,24.2,98.5,4.5,3.8,4.2,3.5,-7.5,Very High
JKL Conservative Hybrid - Growth,Conservative Hybrid Fund,Growth,JKL Asset Management,1.45,1.65,1.5,8.5,-8.5,0.75,10.5,3.5,5.5,11.5,10.2,9.8,55.5,18.5,3500,17.5,19.2,65.5,1.2,0.8,0.5,0.3,-2.2,Moderate
MNO Balanced Advantage - Growth,Balanced Advantage,Growth,MNO Mutual Fund,1.35,1.55,2.8,11.5,-12.5,0.85,13.5,4.8,7.8,14.5,13.2,12.8,72.5,20.5,4200,19.5,19.2,85.5,1.8,1.5,1.2,0.9,-3.8,Moderately High
PQR Sectoral Fund - Growth,Sectoral: Technology,Growth,PQR Investments,0.75,0.95,1.2,25.5,-32.5,1.45,20.5,7.5,14.5,24.5,20.2,19.5,8.5,38.5,1200,28.5,24.2,99.5,5.2,4.5,5.8,4.2,-9.5,Very High
STU Multi Asset Fund - Growth,Multi Asset Allocation,Growth,STU Asset Management,1.25,1.45,2.2,10.5,-10.5,0.95,12.5,4.2,6.8,13.5,12.2,11.8,45.5,22.5,3800,18.5,19.2,58.5,1.5,1.2,0.9,0.6,-3.2,Moderate
VWX Value Fund - Growth,Value Fund,Growth,VWX Mutual Fund,1.05,1.25,2.5,15.5,-19.5,1.05,14.8,5.2,8.8,16.5,14.5,13.8,75.5,26.5,2800,16.5,19.2,93.5,2.5,2.1,1.8,1.4,-4.5,High
YZA Contra Fund - Growth,Contra Fund,Growth,YZA Investments,0.95,1.15,1.8,16.5,-21.5,1.15,15.2,4.5,9.2,17.5,15.0,14.2,68.5,29.5,2200,17.8,19.2,92.5,2.8,2.3,2.0,1.6,-5.5,High
